tconst,titleType,primaryTitle,originalTitle,isAdult,startYear,endYear,runtimeMinutes,genres,Episodetconst,seasonNumber,episodeNumber,AverageRating,NumVotes,titleId,ordering,title,region,language,types,attributes,isOriginalTitle
tt0458290,tvSeries,star wars: the clone wars,Star Wars: The Clone Wars,0,2008,2020,23,"Action,Adventure,Animation",tt1558193,2,9,7.9,2444,tt1558193,1,Grievous Intrigue,US,\N,\N,\N,0
tt0458290,tvSeries,star wars: the clone wars,Star Wars: The Clone Wars,0,2008,2020,23,"Action,Adventure,Animation",tt1618280,2,17,7.5,2369,tt1618280,1,Bounty Hunters,US,\N,\N,\N,0
tt0458290,tvSeries,star wars: the clone wars,Star Wars: The Clone Wars,0,2008,2020,23,"Action,Adventure,Animation",tt1626030,2,20,7.8,2384,tt1626030,1,Death Trap,US,\N,\N,\N,0
tt0458290,tvSeries,star wars: the clone wars,Star Wars: The Clone Wars,0,2008,2020,23,"Action,Adventure,Animation",tt1626031,2,22,8,2373,tt1626031,1,Lethal Trackdown,US,\N,\N,\N,0
tt0458290,tvSeries,star wars: the clone wars,Star Wars: The Clone Wars,0,2008,2020,23,"Action,Adventure,Animation",tt1626032,2,21,7.6,2310,tt1626032,1,R2 Come Home,US,\N,\N,\N,0
tt0458290,tvSeries,star wars: the clone wars,Star Wars: The Clone Wars,0,2008,2020,23,"Action,Adventure,Animation",tt1626033,2,18,7.4,2340,tt1626033,1,The Zillo Beast,US,\N,\N,\N,0
tt0458290,tvSeries,star wars: the clone wars,Star Wars: The Clone Wars,0,2008,2020,23,"Action,Adventure,Animation",tt1626034,2,19,7.6,2370,tt1626034,1,The Zillo Beast Strikes Back,US,\N,\N,\N,0
tt0458290,tvSeries,star wars: the clone wars,Star Wars: The Clone Wars,0,2008,2020,23,"Action,Adventure,Animation",tt1707609,3,1,7.8,2869,,,,,,,,
tt0458290,tvSeries,star wars: the clone wars,Star Wars: The Clone Wars,0,2008,2020,23,"Action,Adventure,Animation",tt1707610,3,10,7.6,2259,,,,,,,,
tt0458290,tvSeries,star wars: the clone wars,Star Wars: The Clone Wars,0,2008,2020,23,"Action,Adventure,Animation",tt1707611,3,11,7.2,2170,,,,,,,,
tt0458290,tvSeries,star wars: the clone wars,Star Wars: The Clone Wars,0,2008,2020,23,"Action,Adventure,Animation",tt1707612,3,12,8.6,2875,,,,,,,,
tt0458290,tvSeries,star wars: the clone wars,Star Wars: The Clone Wars,0,2008,2020,23,"Action,Adventure,Animation",tt1707613,3,13,8.7,2923,,,,,,,,
tt0458290,tvSeries,star wars: the clone wars,Star Wars: The Clone Wars,0,2008,2020,23,"Action,Adventure,Animation",tt1707614,3,14,8.9,2956,,,,,,,,
tt0458290,tvSeries,star wars: the clone wars,Star Wars: The Clone Wars,0,2008,2020,23,"Action,Adventure,Animation",tt1707615,3,15,8.9,3272,,,,,,,,
tt0458290,tvSeries,star wars: the clone wars,Star Wars: The Clone Wars,0,2008,2020,23,"Action,Adventure,Animation",tt1707616,3,16,8.6,2995,,,,,,,,
tt0458290,tvSeries,star wars: the clone wars,Star Wars: The Clone Wars,0,2008,2020,23,"Action,Adventure,Animation",tt1707617,3,17,8.9,3152,,,,,,,,
tt0458290,tvSeries,star wars: the clone wars,Star Wars: The Clone Wars,0,2008,2020,23,"Action,Adventure,Animation",tt1707618,3,18,8.1,2367,,,,,,,,
tt0458290,tvSeries,star wars: the clone wars,Star Wars: The Clone Wars,0,2008,2020,23,"Action,Adventure,Animation",tt1707619,3,19,8.1,2287,,,,,,,,
tt0458290,tvSeries,star wars: the clone wars,Star Wars: The Clone Wars,0,2008,2020,23,"Action,Adventure,Animation",tt1707620,3,2,8.5,2810,,,,,,,,
tt0458290,tvSeries,star wars: the clone wars,Star Wars: The Clone Wars,0,2008,2020,23,"Action,Adventure,Animation",tt1707621,3,20,8.2,2314,,,,,,,,
tt0458290,tvSeries,star wars: the clone wars,Star Wars: The Clone Wars,0,2008,2020,23,"Action,Adventure,Animation",tt1707622,3,21,7.7,2223,,,,,,,,
tt0458290,tvSeries,star wars: the clone wars,Star Wars: The Clone Wars,0,2008,2020,23,"Action,Adventure,Animation",tt1707623,3,22,8,2277,,,,,,,,
tt0458290,tvSeries,star wars: the clone wars,Star Wars: The Clone Wars,0,2008,2020,23,"Action,Adventure,Animation",tt1707624,3,3,7,2412,,,,,,,,
tt0458290,tvSeries,star wars: the clone wars,Star Wars: The Clone Wars,0,2008,2020,23,"Action,Adventure,Animation",tt1707625,3,4,7,2166,,,,,,,,
tt0458290,tvSeries,star wars: the clone wars,Star Wars: The Clone Wars,0,2008,2020,23,"Action,Adventure,Animation",tt1707626,3,5,6.8,2248,,,,,,,,
tt0458290,tvSeries,star wars: the clone wars,Star Wars: The Clone Wars,0,2008,2020,23,"Action,Adventure,Animation",tt1707627,3,6,6.9,2212,,,,,,,,
tt0458290,tvSeries,star wars: the clone wars,Star Wars: The Clone Wars,0,2008,2020,23,"Action,Adventure,Animation",tt1707628,3,7,7.6,2255,,,,,,,,
tt0458290,tvSeries,star wars: the clone wars,Star Wars: The Clone Wars,0,2008,2020,23,"Action,Adventure,Animation",tt1707629,3,8,6.2,2189,,,,,,,,
tt0458290,tvSeries,star wars: the clone wars,Star Wars: The Clone Wars,0,2008,2020,23,"Action,Adventure,Animation",tt1707630,3,9,7.2,2218,,,,,,,,
tt0458290,tvSeries,star wars: the clone wars,Star Wars: The Clone Wars,0,2008,2020,23,"Action,Adventure,Animation",tt2024226,4,3,7.2,2088,,,,,,,,
tt0458290,tvSeries,star wars: the clone wars,Star Wars: The Clone Wars,0,2008,2020,23,"Action,Adventure,Animation",tt2024227,4,4,7.2,2051,,,,,,,,
